HEIGHT ROLL SUMMARY
================================================================================

Image: 1600x1000 px, cyan-only extraction
Block: 20x20 px, step: 10 px

Offset | Rows | Bands |  Ones | Printable | Letters | Preview
--------------------------------------------------------------------------------
     0 |   50 |    10 |   700 |       600 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    10 |   49 |     9 |   728 |       540 |       0 | ..... ..... ..... ..... ..... ..... ".... ..... ..
    20 |   49 |     9 |   690 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    30 |   48 |     9 |   723 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    40 |   48 |     9 |   690 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    50 |   47 |     9 |   723 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    60 |   47 |     9 |   690 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    70 |   46 |     9 |   722 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    80 |   46 |     9 |   681 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
    90 |   45 |     9 |   712 |       540 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   100 |   45 |     9 |   669 |       540 |       0 | ..... ..... ..... ....- ....- ..... ..... ..... ..
   110 |   44 |     8 |   695 |       480 |       0 | ..... ..... ..... ..../ ..... ..... ..... ..... ..
   120 |   44 |     8 |   660 |       480 |       0 | ..... ..... ..... ...-. ...-. ..... ..... ..... ..
   130 |   43 |     8 |   688 |       480 |       0 | ..... ..... ..... .../. ..... ..... ...." ..... ..
   140 |   43 |     8 |   660 |       480 |       0 | ..... ..... ..... ..-.. ..-.. ..... ....  ..... ..
   150 |   42 |     8 |   688 |       480 |       0 | ..... ..... ..... ../.. ..... ..... ...". ..... ..
   160 |   42 |     8 |   660 |       480 |       0 | ..... ..... ..... .-... .-... ..... ... . ..... ..
   170 |   41 |     8 |   688 |       480 |       0 | ..... ..... ..... ./... ..... ..... ..".. ..... ..
   180 |   41 |     8 |   660 |       480 |       0 | ..... ..... ..... -.... -.... ..... .. .. ..... ..
   190 |   40 |     8 |   688 |       480 |       0 | ..... ..... ..... /.... ..... ..... ."... ..... ..
   200 |   40 |     8 |   647 |       480 |       0 | ..... ..... ..... ..... ..... ..... . ... ..... ..
   210 |   39 |     7 |   671 |       420 |       0 | ..... ..... ..... ..... ..... ..... ".... ..... ..
   220 |   39 |     7 |   636 |       420 |       0 | ..... ..... ..... ..... ..... .....  .... ..... ..
   230 |   38 |     7 |   663 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   240 |   38 |     7 |   633 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   250 |   37 |     7 |   661 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   260 |   37 |     7 |   631 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   270 |   36 |     7 |   660 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   280 |   36 |     7 |   627 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   290 |   35 |     7 |   652 |       420 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   300 |   35 |     7 |   618 |       420 |       0 | ..... ..... ..... ....- ....- ..... ....- ....- ..
   310 |   34 |     6 |   632 |       360 |       0 | ..... ..... ..... ..../ ..../ ..... ..../ ..../ ..
   320 |   34 |     6 |   604 |       360 |       0 | ..... ..... ..... ...-. ...-. ..... ...-" ...-. ..
   330 |   33 |     6 |   621 |       360 |       0 | ..... ..... ..... .../  .../  ..... .../  .../  ..
   340 |   33 |     6 |   604 |       360 |       0 | ..... ..... ....% ..-.. ..-.. ..... ..-". ..-.. ..
   350 |   32 |     6 |   621 |       360 |       0 | ..... ..... ....% ../ . ../ . ..... ../ . ../ . ..
   360 |   32 |     6 |   604 |       360 |       0 | ..... ....- ...%- .-... .-... ..... .-".. .-... .-
   370 |   31 |     6 |   611 |       360 |       0 | ..... ..... ...%. ./ .. ./ .. ..... ./ .. ./ .. .-
   380 |   31 |     6 |   585 |       360 |       0 | ..... ...-. ..%-. -.... -.... ..... -"... -.... -.
   390 |   30 |     6 |   588 |       360 |       0 | ..... ..... ..%.. / ... / ... ..... / ... / ... - 
   400 |   30 |     6 |   556 |       360 |       0 | ....- ..-.- .%-.- ..... ..... ..... ".... ..... .%
   410 |   29 |     5 |   554 |       300 |       0 | ....- ..../ .%..-  ....  .... .....  ....  ....  %
   420 |   29 |     5 |   549 |       300 |       0 | ...-. .-.-. %-.-. ..... ..... ..... ..... ..... %-
   430 |   28 |     5 |   545 |       300 |       0 | ...-. .../. %..-. ..... ..... ..... ..... ..... %-
   440 |   28 |     5 |   516 |       300 |       0 | ..-.. -.-.% -.-.- ..... ..... ..... ..... ..... -.
   450 |   27 |     5 |   512 |       300 |       0 | ..-.. ../.% ..-.- ..... ..... ..... ....- ....- -.
   460 |   27 |     5 |   477 |       300 |       0 | .-..) .-.%! .-.-- ....- ..... ..... ....- ....- ..
   470 |   26 |     5 |   465 |       300 |       0 | .-..9 ./.%! .-.-- ....- ....) ..... ...-! ...-! ..
   480 |   26 |     5 |   458 |       300 |       0 | -..). -.%!. -.--. ...-. ..... ..... ...-. ...-. ..
   490 |   25 |     5 |   457 |       300 |       0 | -..9. /.%!. -.--. ...-. ...). ..... ..-!. ..-!. ..
   500 |   25 |     5 |   441 |       300 |       0 | ..).. .%!.. .--.. ..-.. ..... ..... ..-.. ..-.. .%
   510 |   24 |     4 |   439 |       240 |       0 | ..9.. .%!.. .--.. ..-.. ..).. ..... .-!.. .-!.. ..
   520 |   24 |     4 |   429 |       240 |       0 | .)... %!... --... .-... ..... ..... .-... .-... %.
   530 |   23 |     4 |   418 |       240 |       0 | .9... %!... --... .-... .)... ..... -!..  -!..; ..
   540 |   23 |     4 |   394 |       240 |       0 | ).... !.... -.... -.... ..... ..... -...  -...) ..
   550 |   22 |     4 |   385 |       240 |       0 | 9.... !.... -.... -.... ).... ..... !.. . !..;. ..
   560 |   22 |     4 |   363 |       240 |       0 | ..... ..... ..... ..... ..... ..... ... . ...). ..
   570 |   21 |     4 |   359 |       240 |       0 | ..... ..... ..... ..... ..... ..... .. .. ..;.. ..
   580 |   21 |     4 |   362 |       240 |       0 | ..... ..... ..... ..... ..... ..... .. .. ..).. ..
   590 |   20 |     4 |   359 |       240 |       0 | ..... ..... ..... ..... ..... ..... . ... .;... ..
   600 |   20 |     4 |   359 |       240 |       0 | ..... ..... ..... ....- ....- ..... . ..- .)..- .!
   610 |   19 |     3 |   354 |       180 |       0 | ..... ..... ..... ..... ..... .....  .../ ;.... ..
   620 |   19 |     3 |   348 |       180 |       0 | ..... ..... ..... ...-. ...-. .....  ..-. )..-. !.
   630 |   18 |     3 |   334 |       180 |       0 | ...." ..... ..... ..... ..... ..... .../. ..... ..
   640 |   18 |     3 |   337 |       180 |       0 | ....- ....! ....% ..-.% ..-.% ..... ..-.% ..-.. ..
   650 |   17 |     3 |   330 |       180 |       0 | ..."- ....! ....% ....- ....- ..... ../.- ..... .5
   660 |   17 |     3 |   333 |       180 |       0 | ...-. ...!! ...%) .-.%- .-.%- ..... .-.%. .-... .-
   670 |   16 |     3 |   329 |       180 |       0 | .."-. ...!1 ...%. ...-. ...-. ..... ./.-. ..... 5/
   680 |   16 |     3 |   318 |       180 |       0 | ..-.. ..!!. ..%). -.%-. -.%-. ..... -.%.. -.... -.
   690 |   15 |     3 |   301 |       180 |       0 | ."-.. ..!1. ..%.. ..-.. ..-.. ..... /.-.. ..... / 
   700 |   15 |     3 |   287 |       180 |       0 | .-... .!!.. .%).. .%-.. .%-.. ..... .%... ..... ..
   710 |   14 |     2 |   259 |       120 |       0 | "-... .!1.. .%... .-... .-... ..... .-... .....  .
   720 |   14 |     2 |   273 |       120 |       0 | -.... !!... %)... %-... %-... ..... %.... ..... ..
   730 |   13 |     2 |   252 |       120 |       0 | -.... !1... %.... -.... -.... ..... -.... ..... ..
   740 |   13 |     2 |   238 |       120 |       0 | ..... !...! )...! -.... -.... ..... ....! ....! ..
   750 |   12 |     2 |   212 |       120 |       0 | ..... 1...! ....! ..... ..... ..... ..... ....! ..
   760 |   12 |     2 |   200 |       120 |       0 | ..... ...!. ...!. ..... ..... ..... ...!. ...!. ..
   770 |   11 |     2 |   162 |       120 |       0 | ..... ...!. ...!. ..... ..... ..... ..... ...!. ..
   780 |   11 |     2 |   174 |       120 |       0 | ..... ..!.. ..!.. ..... ..... ..... ..!.. ..!.. ..
   790 |   10 |     2 |   155 |       120 |       0 | ..... ..!.= ..!.= ....= ....= ..... ..... ..!.. ..
   800 |   10 |     2 |   170 |       120 |       0 | ..... .!..- .!... ..... ....- ..... .!... .!... . 
   810 |    9 |     1 |   151 |        60 |       0 | ..... .!.=. .!.=. ...=. ...=. ..... ..... .!... ..
   820 |    9 |     1 |   156 |        60 |       0 | ..... !..-. !.... ..... ...-. ..... !.... !....  .
   830 |    8 |     1 |   131 |        60 |       0 | ..... !.=.. !.=.. ..=.. ..=.. ..... ..... !.... ..
   840 |    8 |     1 |   136 |        60 |       0 | ..... ..-.! ....! ....- ..-.. ..... ....  ..... ..
   850 |    7 |     1 |   115 |        60 |       0 | ..... .=... .=... .=... .=... ..... ..... ..... ..
   860 |    7 |     1 |   135 |        60 |       0 | ..... .-.!. ...!. ...-. .-... ..... ... . ..... ..
   870 |    6 |     1 |   114 |        60 |       0 | ..... =.... =.... =.... =.... ..... ..... ..... ..
   880 |    6 |     1 |   128 |        60 |       0 | ..... -.!.. ..!.. ..-.. -.... ..... .. .. ..... ..
   890 |    5 |     1 |    85 |        60 |       0 | ..... ..... ..... ..... ..... ..... ..... ..... ..
   900 |    5 |     1 |    98 |        60 |       0 | ..... .!... .!... .-..- ....- ..... . .., ....- ..
