Offset     Marker Length Name
0x00000000 0xFFD8      0 SOI
0x00000002 0xFFEE     14 APP14
0x00000012 0xFFE1   5756 APP1
0x00001690 0xFFED   7340 APP13
0x0000333E 0xFFE1   2016 APP1
0x00003B20 0xFFE2   3160 APP2
0x0000477A 0xFFDB     67 DQT
0x000047BF 0xFFDB     67 DQT
0x00004804 0xFFC2     17 SOF2
0x00004817 0xFFC4     31 DHT
0x00004838 0xFFC4     55 DHT
0x00004871 0xFFC4     29 DHT
0x00004890 0xFFC4     76 DHT
0x000048DE 0xFFC4     69 DHT
0x00004925 0xFFDA     12 SOS
0x0000D1A2 0xFFDA      8 SOS
0x000169C1 0xFFDA      8 SOS
0x0001EE65 0xFFDA      8 SOS
0x0002F995 0xFFDA      8 SOS
0x000410E6 0xFFDA      8 SOS
0x00049873 0xFFDA      8 SOS
0x000C37A4 0xFFD9      0 EOI
