zigzag_index,row,col,value
0,0,0,1
1,0,1,1
2,0,2,1
3,0,3,1
4,0,4,1
5,0,5,1
6,0,6,2
7,0,7,1
8,1,0,1
9,1,1,2
10,1,2,3
11,1,3,2
12,1,4,2
13,1,5,2
14,1,6,3
15,1,7,3
16,2,0,3
17,2,1,3
18,2,2,3
19,2,3,3
20,2,4,3
21,2,5,3
22,2,6,3
23,2,7,3
24,3,0,3
25,3,1,3
26,3,2,3
27,3,3,3
28,3,4,3
29,3,5,3
30,3,6,3
31,3,7,3
32,4,0,3
33,4,1,3
34,4,2,3
35,4,3,3
36,4,4,3
37,4,5,3
38,4,6,3
39,4,7,3
40,5,0,3
41,5,1,3
42,5,2,3
43,5,3,3
44,5,4,3
45,5,5,3
46,5,6,3
47,5,7,3
48,6,0,3
49,6,1,3
50,6,2,3
51,6,3,3
52,6,4,3
53,6,5,3
54,6,6,3
55,6,7,3
56,7,0,3
57,7,1,3
58,7,2,3
59,7,3,3
60,7,4,3
61,7,5,3
62,7,6,3
63,7,7,3
