=== Faithful Audio-to-MIDI Conversion ===

Audio: self_introduction_memory_dump.mp3
Duration: 16.068s
Total notes: 27

Note,MIDI,Freq_Hz,Start_s,End_s,Duration_s
94,94,1864.66,0.8824,0.9288,0.0464
93,93,1760.00,1.1726,1.2074,0.0348
92,92,1661.22,2.2407,2.2988,0.0580
92,92,1661.22,3.8661,3.9242,0.0580
92,92,1661.22,3.9474,3.9822,0.0348
88,88,1318.51,4.2841,4.3537,0.0697
87,87,1244.51,4.3654,4.4002,0.0348
92,92,1661.22,4.4931,4.5859,0.0929
92,92,1661.22,4.6208,4.6672,0.0464
94,94,1864.66,5.1548,5.2013,0.0464
90,90,1479.98,5.2361,5.2709,0.0348
93,93,1760.00,5.8282,5.8630,0.0348
92,92,1661.22,5.8746,5.9211,0.0464
94,94,1864.66,6.8034,6.8383,0.0348
93,93,1760.00,7.3956,7.4304,0.0348
93,93,1760.00,7.5697,7.6045,0.0348
92,92,1661.22,7.6161,7.6626,0.0464
93,93,1760.00,8.4869,8.5449,0.0580
92,92,1661.22,8.6030,8.6727,0.0697
94,94,1864.66,9.3460,9.3925,0.0464
93,93,1760.00,9.4041,9.4389,0.0348
92,92,1661.22,9.9265,9.9614,0.0348
92,92,1661.22,10.5186,10.5767,0.0580
92,92,1661.22,10.8437,10.9250,0.0813
94,94,1864.66,10.9366,10.9714,0.0348
93,93,1760.00,11.2617,11.3197,0.0580
95,95,1975.53,11.3429,11.3894,0.0464
