time_s,zcr
0.000000000000000000e+00,0.000000000000000000e+00
1.160997732426303879e-02,0.000000000000000000e+00
2.321995464852607757e-02,2.392578125000000000e-02
3.482993197278911462e-02,4.980468750000000000e-02
4.643990929705215515e-02,6.835937500000000000e-02
5.804988662131519567e-02,9.326171875000000000e-02
6.965986394557822925e-02,8.203125000000000000e-02
8.126984126984126977e-02,7.763671875000000000e-02
9.287981859410431029e-02,7.910156250000000000e-02
1.044897959183673508e-01,7.373046875000000000e-02
1.160997732426303913e-01,7.910156250000000000e-02
1.277097505668934319e-01,8.300781250000000000e-02
1.393197278911564585e-01,7.421875000000000000e-02
1.509297052154195129e-01,7.666015625000000000e-02
1.625396825396825395e-01,7.373046875000000000e-02
1.741496598639455662e-01,6.738281250000000000e-02
1.857596371882086206e-01,7.177734375000000000e-02
1.973696145124716472e-01,6.005859375000000000e-02
2.089795918367347016e-01,5.859375000000000000e-02
2.205895691609977283e-01,5.664062500000000000e-02
2.321995464852607827e-01,6.835937500000000000e-02
2.438095238095238093e-01,7.763671875000000000e-02
2.554195011337868637e-01,8.056640625000000000e-02
2.670294784580498626e-01,8.251953125000000000e-02
2.786394557823129170e-01,8.007812500000000000e-02
2.902494331065759714e-01,7.910156250000000000e-02
3.018594104308390258e-01,7.617187500000000000e-02
3.134693877551020247e-01,8.007812500000000000e-02
3.250793650793650791e-01,8.593750000000000000e-02
3.366893424036281335e-01,1.000976562500000000e-01
3.482993197278911324e-01,1.225585937500000000e-01
3.599092970521541868e-01,1.176757812500000000e-01
3.715192743764172412e-01,1.005859375000000000e-01
3.831292517006802956e-01,8.740234375000000000e-02
3.947392290249432945e-01,6.689453125000000000e-02
4.063492063492063489e-01,6.738281250000000000e-02
4.179591836734694033e-01,7.568359375000000000e-02
4.295691609977324021e-01,8.349609375000000000e-02
4.411791383219954565e-01,9.179687500000000000e-02
4.527891156462585109e-01,1.030273437500000000e-01
4.643990929705215653e-01,1.074218750000000000e-01
4.760090702947845642e-01,1.079101562500000000e-01
4.876190476190476186e-01,1.069335937500000000e-01
4.992290249433106730e-01,9.814453125000000000e-02
5.108390022675737274e-01,8.154296875000000000e-02
5.224489795918367818e-01,7.128906250000000000e-02
5.340589569160997252e-01,6.542968750000000000e-02
5.456689342403627796e-01,6.933593750000000000e-02
5.572789115646258340e-01,8.007812500000000000e-02
5.688888888888888884e-01,8.398437500000000000e-02
5.804988662131519428e-01,8.789062500000000000e-02
5.921088435374149972e-01,8.496093750000000000e-02
6.037188208616780516e-01,8.398437500000000000e-02
6.153287981859409950e-01,8.251953125000000000e-02
6.269387755102040494e-01,7.861328125000000000e-02
6.385487528344671038e-01,7.763671875000000000e-02
6.501587301587301582e-01,7.812500000000000000e-02
6.617687074829932126e-01,8.105468750000000000e-02
6.733786848072562670e-01,8.349609375000000000e-02
6.849886621315193214e-01,8.642578125000000000e-02
6.965986394557822647e-01,8.740234375000000000e-02
7.082086167800453191e-01,8.740234375000000000e-02
7.198185941043083735e-01,8.789062500000000000e-02
7.314285714285714279e-01,8.740234375000000000e-02
7.430385487528344823e-01,8.886718750000000000e-02
7.546485260770975367e-01,9.179687500000000000e-02
7.662585034013605911e-01,9.326171875000000000e-02
7.778684807256235345e-01,9.667968750000000000e-02
7.894784580498865889e-01,9.716796875000000000e-02
8.010884353741496433e-01,9.375000000000000000e-02
8.126984126984126977e-01,9.277343750000000000e-02
8.243083900226757521e-01,9.130859375000000000e-02
8.359183673469388065e-01,8.935546875000000000e-02
8.475283446712018609e-01,8.935546875000000000e-02
8.591383219954648043e-01,9.814453125000000000e-02
8.707482993197278587e-01,1.088867187500000000e-01
8.823582766439909131e-01,1.611328125000000000e-01
8.939682539682539675e-01,2.451171875000000000e-01
9.055782312925170219e-01,3.198242187500000000e-01
9.171882086167800763e-01,3.911132812500000000e-01
9.287981859410431307e-01,4.228515625000000000e-01
9.404081632653060741e-01,4.218750000000000000e-01
9.520181405895691285e-01,4.287109375000000000e-01
9.636281179138321829e-01,4.394531250000000000e-01
9.752380952380952372e-01,4.526367187500000000e-01
9.868480725623582916e-01,4.638671875000000000e-01
9.984580498866213460e-01,4.418945312500000000e-01
1.010068027210884400e+00,3.613281250000000000e-01
1.021678004535147455e+00,2.807617187500000000e-01
1.033287981859410509e+00,1.967773437500000000e-01
1.044897959183673564e+00,1.372070312500000000e-01
1.056507936507936618e+00,1.328125000000000000e-01
1.068117913832199450e+00,1.269531250000000000e-01
1.079727891156462505e+00,1.328125000000000000e-01
1.091337868480725559e+00,1.376953125000000000e-01
1.102947845804988614e+00,1.425781250000000000e-01
1.114557823129251668e+00,1.352539062500000000e-01
1.126167800453514722e+00,1.191406250000000000e-01
1.137777777777777777e+00,1.040039062500000000e-01
1.149387755102040831e+00,8.837890625000000000e-02
1.160997732426303886e+00,8.154296875000000000e-02
1.172607709750566940e+00,8.105468750000000000e-02
1.184217687074829994e+00,8.398437500000000000e-02
1.195827664399093049e+00,8.398437500000000000e-02
1.207437641723356103e+00,8.593750000000000000e-02
1.219047619047619158e+00,8.593750000000000000e-02
1.230657596371881990e+00,8.789062500000000000e-02
1.242267573696145044e+00,8.935546875000000000e-02
1.253877551020408099e+00,8.837890625000000000e-02
1.265487528344671153e+00,9.033203125000000000e-02
1.277097505668934208e+00,9.033203125000000000e-02
1.288707482993197262e+00,9.521484375000000000e-02
