f1,f2,f3,f4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.635572945018620885e+02,2.459965562216653325e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.630098596477644605e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.327863663839589663e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.909356367928827694e+03,3.542475479152966727e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.235905727002038020e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.094433121537769239e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.852623505156729152e+03,3.072749259187944972e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.077004832713437736e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.568135770742525210e+02,2.527016759755247676e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.412224768095813943e+02,2.480631492341045941e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.232031539767561981e+02,2.400686419937681421e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.570744305513052041e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.634863347308315497e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.773267586606815712e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.810625918296459531e+02,2.833188347266489927e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.859761931583429941e+02,2.623093057719100216e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.391479311367423634e+03,2.248143152410073981e+03,2.837063563493906258e+03,0.000000000000000000e+00
2.206932734238102967e+03,2.447611638880882310e+03,2.791848028627195617e+03,0.000000000000000000e+00
2.257567802938499426e+03,2.605295942529741751e+03,3.447125535795916221e+03,0.000000000000000000e+00
5.115871053513611741e+02,2.497386549599557839e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.816643916750228982e+02,2.394280229298688027e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.093701259784729245e+03,2.274572636791524019e+03,3.967069656535529248e+03,0.000000000000000000e+00
1.800989244338549497e+03,2.284989725950233151e+03,2.449327625755563531e+03,0.000000000000000000e+00
1.640188828106816118e+03,2.490916313708081361e+03,3.148751991476715830e+03,0.000000000000000000e+00
1.605874536474822662e+03,2.525619146785780686e+03,2.657186855893272423e+03,0.000000000000000000e+00
1.468475306262866070e+03,2.347152875246828899e+03,3.359419276718241235e+03,0.000000000000000000e+00
1.475459242514470816e+03,2.467098864930375385e+03,3.149200346851724134e+03,0.000000000000000000e+00
1.776371057438117759e+03,2.474695597591122805e+03,2.602558241118633759e+03,0.000000000000000000e+00
1.882607991659364188e+03,2.650749413140748857e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.659092964073940493e+03,2.258676380906877512e+03,3.100749998026080448e+03,0.000000000000000000e+00
4.617266416638799456e+02,2.157844683757690746e+03,2.513016374173468193e+03,0.000000000000000000e+00
2.171347952484282814e+03,2.535287035499061858e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.014914751692345590e+03,2.545442566779355275e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.798925856981762308e+03,2.361486638800255150e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.839530229263419869e+03,2.740480979448492235e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.952218913029018267e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.951662290954962600e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.083768961867164762e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.059657500250925750e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.020617142204988113e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.594671225659899392e+03,2.469366726033843861e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.228172051654057896e+03,2.630515443192926796e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.899554232748722598e+02,2.662114319028616137e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.364575447428393318e+03,2.853054654050133195e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.701020574226589360e+03,2.697068857371031299e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.635695670667331569e+03,2.709461047404089186e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.692920039167624509e+03,2.552154537468518356e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.651917651155147041e+03,2.561013104164970173e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.655632918184165419e+03,2.681187862877050065e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.643755093611928714e+03,2.565599804718565792e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.676835837197255159e+03,2.647324669017130418e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.697299934917196197e+03,2.761872649424744395e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.710862936939825886e+03,2.656624102850124018e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.637024157575866639e+03,2.594587825390071430e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.655575229295155850e+03,2.444931515752152791e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.702246534033961325e+03,2.702501589331528976e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.111443487906605242e+03,2.673617202744228962e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.908645028535434676e+03,2.480754910560769986e+03,3.877207807054142449e+03,0.000000000000000000e+00
1.984314576484365261e+03,2.443676658526613664e+03,3.672112082337382162e+03,0.000000000000000000e+00
1.631365911070420452e+03,2.533241205554129010e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.237263576536456185e+03,1.700866917394982011e+03,2.661942662886011476e+03,0.000000000000000000e+00
1.667652066910557096e+03,2.257360382628291973e+03,2.739015225358753469e+03,0.000000000000000000e+00
1.802145318105547858e+03,2.439046160247678472e+03,3.537846954417390407e+03,0.000000000000000000e+00
1.701427860616448470e+03,2.588610982169711406e+03,0.000000000000000000e+00,0.000000000000000000e+00
