time_s,envelope
0.000000000000000000e+00,4.039226732331352605e-03
1.000000000000000021e-02,4.849875977205942486e-04
2.000000000000000042e-02,2.604179260640307816e-04
2.999999999999999889e-02,1.722555212673915659e-04
4.000000000000000083e-02,1.267505420194782548e-04
5.000000000000000278e-02,9.257852202110359707e-05
5.999999999999999778e-02,7.819940212167581623e-05
7.000000000000000666e-02,1.762112865170629072e-04
8.000000000000000167e-02,2.260119669790587300e-04
8.999999999999999667e-02,1.835449467990559619e-04
1.000000000000000056e-01,8.598230768198946946e-05
1.100000000000000006e-01,2.545175704655615106e-04
1.199999999999999956e-01,1.311517325631912114e-04
1.300000000000000044e-01,2.708135028955291042e-04
1.400000000000000133e-01,4.099920303531336629e-04
1.499999999999999944e-01,3.132424532888881757e-04
1.600000000000000033e-01,2.861916211439248536e-04
1.700000000000000122e-01,6.341214785620820208e-05
1.799999999999999933e-01,2.539843297053446364e-04
1.900000000000000022e-01,3.041926551216350043e-04
2.000000000000000111e-01,7.577988818102022073e-05
2.099999999999999922e-01,9.285437114535665141e-05
2.200000000000000011e-01,2.795115832619081463e-04
2.300000000000000100e-01,3.311874280026737066e-04
2.399999999999999911e-01,3.774447139750025464e-04
2.500000000000000000e-01,2.225477429220441101e-04
2.600000000000000089e-01,1.429932212282916313e-04
2.700000000000000178e-01,1.445797669481255177e-04
2.800000000000000266e-01,5.704001883098177992e-05
2.899999999999999800e-01,1.940553376081330980e-04
2.999999999999999889e-01,2.114868926119618981e-04
3.099999999999999978e-01,2.950971501706267175e-04
3.200000000000000067e-01,2.355476266191294820e-04
3.300000000000000155e-01,1.534721089751843557e-04
3.400000000000000244e-01,1.991678544537806375e-04
3.499999999999999778e-01,1.470951581343594755e-04
3.599999999999999867e-01,3.274242122833744603e-04
3.699999999999999956e-01,1.498721216258167629e-04
3.800000000000000044e-01,2.029657220576474436e-04
3.900000000000000133e-01,4.289567138135424854e-04
4.000000000000000222e-01,4.532665799000419604e-04
4.099999999999999756e-01,4.661435915435644295e-04
4.199999999999999845e-01,4.709019930097884071e-04
4.299999999999999933e-01,5.093743298168464063e-04
4.400000000000000022e-01,5.162753884643968933e-04
4.500000000000000111e-01,3.805388978663978026e-04
4.600000000000000200e-01,1.710903350492236526e-04
4.699999999999999734e-01,6.047559236549680545e-04
4.799999999999999822e-01,8.681618722609679879e-04
4.899999999999999911e-01,2.450900606637165086e-04
5.000000000000000000e-01,9.931783772884638685e-04
5.100000000000000089e-01,6.269486182073848082e-04
5.200000000000000178e-01,3.654689554153909854e-04
5.300000000000000266e-01,7.203529951760647690e-04
5.400000000000000355e-01,5.825510770970388765e-04
5.500000000000000444e-01,6.549963173862400397e-04
5.600000000000000533e-01,8.111876044822950542e-04
5.699999999999999512e-01,5.031092797817436277e-04
5.799999999999999600e-01,3.594986779982679132e-04
5.899999999999999689e-01,9.612406301508342153e-04
5.999999999999999778e-01,9.992828487734558077e-04
6.099999999999999867e-01,1.738482031387879453e-03
6.199999999999999956e-01,1.232070651199722224e-03
6.300000000000000044e-01,1.209276425199283999e-03
6.400000000000000133e-01,1.295284081065253314e-03
6.500000000000000222e-01,2.378154093720162218e-03
6.600000000000000311e-01,1.068567041799625694e-03
6.700000000000000400e-01,8.900211740600377135e-04
6.800000000000000488e-01,1.513112190841009279e-03
6.899999999999999467e-01,9.616355448430079136e-04
6.999999999999999556e-01,4.052281477166551956e-04
7.099999999999999645e-01,1.295698010920665055e-03
7.199999999999999734e-01,1.606061692860809515e-03
7.299999999999999822e-01,1.428990444670307511e-03
7.399999999999999911e-01,9.777267442218418644e-04
7.500000000000000000e-01,3.026337184654805915e-04
7.600000000000000089e-01,1.127830860772049797e-03
7.700000000000000178e-01,1.021861252271816928e-03
7.800000000000000266e-01,8.218082680679054822e-04
7.900000000000000355e-01,5.719866397244318702e-04
8.000000000000000444e-01,4.113781780569423499e-04
8.100000000000000533e-01,6.774107208875304771e-04
8.199999999999999512e-01,8.361312515238802229e-04
8.299999999999999600e-01,1.002653762731518404e-03
8.399999999999999689e-01,2.793798114615051505e-04
8.499999999999999778e-01,8.801346640035996897e-04
8.599999999999999867e-01,8.353426170219463258e-04
8.699999999999999956e-01,4.588171124272761290e-04
8.800000000000000044e-01,5.701394017101219782e-04
8.900000000000000133e-01,8.029339409398755811e-05
9.000000000000000222e-01,9.217156016542696524e-05
9.100000000000000311e-01,1.742285835526306012e-04
9.200000000000000400e-01,1.655603846772109907e-04
9.300000000000000488e-01,2.021823053076662706e-04
9.399999999999999467e-01,3.926829837601405072e-04
9.499999999999999556e-01,7.382464422985489068e-05
9.599999999999999645e-01,7.534461567447322476e-05
9.699999999999999734e-01,2.743914905245329618e-04
9.799999999999999822e-01,8.901311794140143315e-05
9.899999999999999911e-01,1.530634570279415551e-04
1.000000000000000000e+00,1.480165208502825277e-04
1.010000000000000009e+00,1.941311061832116122e-04
1.020000000000000018e+00,2.025715198319692680e-04
1.030000000000000027e+00,1.531936775380458859e-04
1.040000000000000036e+00,2.191603475017156986e-04
1.050000000000000044e+00,3.141255775831679306e-04
1.060000000000000053e+00,2.205983141580219889e-04
1.070000000000000062e+00,2.286917524022481405e-04
1.080000000000000071e+00,1.357733317067300386e-04
1.090000000000000080e+00,2.428268132836210538e-04
1.100000000000000089e+00,1.744132662076642145e-05
1.110000000000000098e+00,6.338031467112754014e-05
1.120000000000000107e+00,1.176327896785163451e-04
1.129999999999999893e+00,2.261656290688831260e-04
1.139999999999999902e+00,1.016664930257043809e-04
1.149999999999999911e+00,4.698177585032168647e-04
1.159999999999999920e+00,1.628570935290043684e-04
1.169999999999999929e+00,1.651338958319194478e-04
1.179999999999999938e+00,3.239849465216862044e-04
1.189999999999999947e+00,3.923114249214730402e-05
1.199999999999999956e+00,1.302074945147717105e-04
1.209999999999999964e+00,3.969276297166575516e-04
1.219999999999999973e+00,1.533032521400375331e-04
1.229999999999999982e+00,2.902987412883917587e-04
1.239999999999999991e+00,1.421279243096793628e-04
1.250000000000000000e+00,1.305822980622556404e-04
1.260000000000000009e+00,2.968287438944582513e-04
1.270000000000000018e+00,3.500231885118366401e-05
1.280000000000000027e+00,1.842148284809231966e-04
1.290000000000000036e+00,7.286543022735836523e-05
1.300000000000000044e+00,3.076026233077411146e-04
1.310000000000000053e+00,5.738121052800735191e-05
1.320000000000000062e+00,1.929864373531025440e-04
1.330000000000000071e+00,1.059238438081630947e-04
1.340000000000000080e+00,2.441686994774113872e-04
1.350000000000000089e+00,1.720927274136713355e-04
1.360000000000000098e+00,3.209354061244877208e-04
1.370000000000000107e+00,1.506927542079901827e-04
1.379999999999999893e+00,1.558078050947343362e-04
1.389999999999999902e+00,2.274262970022496719e-04
1.399999999999999911e+00,2.668076146093836592e-04
1.409999999999999920e+00,3.950200574649833968e-04
1.419999999999999929e+00,2.089475312741530244e-04
1.429999999999999938e+00,2.823255908503878131e-04
1.439999999999999947e+00,3.620630257803450144e-04
1.449999999999999956e+00,3.122528348983186165e-04
1.459999999999999964e+00,2.871155244774365291e-04
1.469999999999999973e+00,1.757969717144648150e-04
1.479999999999999982e+00,6.902386126714394070e-05
1.489999999999999991e+00,1.010702854566231351e-04
1.500000000000000000e+00,3.466009759552631333e-04
1.510000000000000009e+00,1.614635367982101123e-04
1.520000000000000018e+00,2.329837353484685066e-04
1.530000000000000027e+00,4.346575795854832540e-04
1.540000000000000036e+00,1.668158165840242569e-04
1.550000000000000044e+00,2.056959493901697666e-04
1.560000000000000053e+00,4.235214885675357113e-04
1.570000000000000062e+00,2.216354199269449367e-05
1.580000000000000071e+00,1.593863288656862515e-04
1.590000000000000080e+00,1.746484525682244450e-04
1.600000000000000089e+00,2.783004744654388771e-04
1.610000000000000098e+00,5.109769665677505422e-04
1.620000000000000107e+00,8.559770487381111563e-04
1.629999999999999893e+00,3.552997376814954794e-04
1.639999999999999902e+00,4.074515885881149053e-04
1.649999999999999911e+00,5.762827339343219637e-04
1.659999999999999920e+00,3.332989113696614258e-04
1.669999999999999929e+00,4.142746931428217968e-04
1.679999999999999938e+00,6.716259108452385558e-04
1.689999999999999947e+00,1.008230569209423886e-03
1.699999999999999956e+00,1.011516277297849894e-03
