time_s,envelope
0.000000000000000000e+00,1.096745926432753961e-02
1.000000000000000021e-02,3.238570658265580441e-05
2.000000000000000042e-02,4.338365486370204425e-05
2.999999999999999889e-02,5.378012766770897502e-05
4.000000000000000083e-02,5.056920515042874573e-05
5.000000000000000278e-02,4.812084831612470999e-05
5.999999999999999778e-02,3.653557434112906713e-05
7.000000000000000666e-02,3.279801167242638542e-05
8.000000000000000167e-02,9.381007191443479332e-06
8.999999999999999667e-02,6.780577944158465854e-05
1.000000000000000056e-01,1.627840347740584618e-05
1.100000000000000006e-01,7.934246829806131302e-05
1.199999999999999956e-01,4.431667996816697112e-05
1.300000000000000044e-01,1.768417287492657494e-05
1.400000000000000133e-01,5.825733228143532589e-05
1.499999999999999944e-01,4.701393195872738602e-05
1.600000000000000033e-01,2.798648203723360110e-05
1.700000000000000122e-01,2.394865043429808817e-05
1.799999999999999933e-01,7.999323908604291981e-05
1.900000000000000022e-01,3.990827598158296915e-05
2.000000000000000111e-01,3.962521716912061878e-05
2.099999999999999922e-01,3.241548218540019001e-05
2.200000000000000011e-01,7.175888043220301365e-05
2.300000000000000100e-01,2.565692089434613718e-05
2.399999999999999911e-01,2.509860361663797856e-05
2.500000000000000000e-01,1.508244569669892200e-05
2.600000000000000089e-01,3.520222915467804769e-05
2.700000000000000178e-01,2.637548181045736647e-05
2.800000000000000266e-01,6.088618577800953907e-05
2.899999999999999800e-01,5.521953105669289119e-05
2.999999999999999889e-01,3.340279441325252988e-05
3.099999999999999978e-01,3.104736241010951379e-05
3.200000000000000067e-01,5.980111028067269487e-05
3.300000000000000155e-01,9.677649960765132085e-05
3.400000000000000244e-01,1.658332229878099011e-05
3.499999999999999778e-01,5.008358332097748010e-05
3.599999999999999867e-01,6.261977851642547071e-05
3.699999999999999956e-01,2.227760367306874778e-05
3.800000000000000044e-01,6.733830280989583037e-06
3.900000000000000133e-01,2.433695425471680540e-05
4.000000000000000222e-01,1.706274382970635579e-05
4.099999999999999756e-01,1.625423320289869699e-05
4.199999999999999845e-01,2.907410478505139363e-05
4.299999999999999933e-01,4.535051215731853997e-05
4.400000000000000022e-01,1.994642177598421506e-06
4.500000000000000111e-01,3.461239543357135830e-05
4.600000000000000200e-01,1.339845987485838315e-04
4.699999999999999734e-01,1.570412178423800291e-04
4.799999999999999822e-01,1.177642882179327077e-04
4.899999999999999911e-01,7.770278102426806874e-05
5.000000000000000000e-01,6.235646630349288625e-05
5.100000000000000089e-01,3.376195828600391853e-05
5.200000000000000178e-01,6.216942725447174541e-05
5.300000000000000266e-01,6.374422525004869362e-05
5.400000000000000355e-01,5.791644217902803827e-05
5.500000000000000444e-01,3.385157319250209378e-05
5.600000000000000533e-01,3.828672121935275928e-05
