time_s,envelope
0.000000000000000000e+00,2.160764738852464367e-02
1.000000000000000021e-02,5.197496178500885314e-03
2.000000000000000042e-02,3.792669560068058152e-03
2.999999999999999889e-02,3.031950033934990504e-03
4.000000000000000083e-02,2.536067980746406752e-03
5.000000000000000278e-02,2.177085101027923051e-03
5.999999999999999778e-02,1.905859989663295090e-03
7.000000000000000666e-02,1.690211846845940001e-03
8.000000000000000167e-02,1.516613566608833626e-03
8.999999999999999667e-02,1.371708162871271936e-03
1.000000000000000056e-01,1.250772366502905537e-03
1.100000000000000006e-01,1.146626837738121477e-03
1.199999999999999956e-01,1.057559562163701240e-03
1.300000000000000044e-01,9.790631894623996138e-04
1.400000000000000133e-01,9.106836196428119094e-04
1.499999999999999944e-01,8.493029595674328035e-04
1.600000000000000033e-01,7.950821315294476135e-04
1.700000000000000122e-01,7.457369521031715753e-04
1.799999999999999933e-01,7.017294204285421354e-04
1.900000000000000022e-01,6.612629041843635837e-04
2.000000000000000111e-01,6.249077794890649414e-04
2.099999999999999922e-01,5.911705151601384179e-04
2.200000000000000011e-01,5.606560310494131290e-04
2.300000000000000100e-01,5.321030794557174209e-04
2.399999999999999911e-01,5.061530256414492135e-04
2.500000000000000000e-01,4.817298649053212674e-04
2.600000000000000089e-01,4.594876288832177051e-04
2.700000000000000178e-01,4.384822407803503231e-04
2.800000000000000266e-01,4.193397165474810903e-04
2.899999999999999800e-01,4.012001733045067529e-04
2.999999999999999889e-01,3.846915019729896441e-04
3.099999999999999978e-01,3.690800545866001429e-04
3.200000000000000067e-01,3.550077046921533289e-04
3.300000000000000155e-01,3.417859348874773776e-04
3.400000000000000244e-01,3.299771422215380559e-04
3.499999999999999778e-01,3.188860156474212885e-04
3.599999999999999867e-01,3.089917058684709295e-04
3.699999999999999956e-01,2.996081755601171523e-04
3.800000000000000044e-01,2.911661132973076627e-04
3.900000000000000133e-01,2.829985494130742431e-04
4.000000000000000222e-01,2.755152058184698457e-04
4.099999999999999756e-01,2.681035934092078441e-04
4.199999999999999845e-01,2.611842176692719553e-04
4.299999999999999933e-01,2.542076752084460132e-04
4.400000000000000022e-01,2.476221281211137839e-04
4.500000000000000111e-01,2.409604042817868098e-04
4.600000000000000200e-01,2.346807995560947499e-04
4.699999999999999734e-01,2.282808887661153668e-04
4.799999999999999822e-01,2.221255262351656237e-04
4.899999999999999911e-01,2.157461634451771830e-04
5.000000000000000000e-01,2.095368674094739135e-04
5.100000000000000089e-01,2.030801614642349271e-04
5.200000000000000178e-01,1.967810421361387743e-04
5.300000000000000266e-01,1.902924637183529962e-04
5.400000000000000355e-01,1.840838532983323894e-04
5.500000000000000444e-01,1.778657753817388559e-04
5.600000000000000533e-01,1.720779572061208434e-04
5.699999999999999512e-01,1.663878791364046433e-04
5.799999999999999600e-01,1.611744175830353014e-04
5.899999999999999689e-01,1.560975560881890393e-04
5.999999999999999778e-01,1.514996104117340787e-04
6.099999999999999867e-01,1.470458109670171715e-04
6.199999999999999956e-01,1.430850633463720285e-04
