freq_hz,magnitude
0.000000000000000000e+00,1.469705406141299672e-05
1.076660156250000000e+01,9.203627125479850067e-05
2.153320312500000000e+01,3.552340425233439168e-05
3.229980468750000000e+01,4.376463788563508022e-06
4.306640625000000000e+01,1.976813351395263435e-07
5.383300781250000000e+01,3.052901050890051631e-08
6.459960937500000000e+01,5.270469806945446247e-09
7.536621093750000000e+01,1.442464354802614298e-09
8.613281250000000000e+01,3.152281748208112177e-10
9.689941406250000000e+01,1.493294154310594250e-10
1.076660156250000000e+02,5.220840518035341046e-11
1.184326171875000000e+02,3.144876029137198635e-11
1.291992187500000000e+02,1.450320123453086765e-11
1.399658203125000000e+02,9.305667806942234270e-12
1.507324218750000000e+02,5.797421569290940624e-12
1.614990234375000000e+02,3.394253526149565387e-12
1.722656250000000000e+02,2.436099733438386420e-12
1.830322265625000000e+02,1.717673059188624192e-12
1.937988281250000000e+02,1.145881415661517792e-12
2.045654296875000000e+02,8.837020174673434852e-13
2.153320312500000000e+02,6.210734006747463737e-13
2.260986328125000000e+02,4.576603629999888749e-13
2.368652343750000000e+02,3.233622051814971771e-13
2.476318359375000000e+02,2.675481711278284734e-13
2.583984375000000000e+02,2.031329538919745989e-13
2.691650390625000000e+02,1.546480335866358158e-13
2.799316406250000000e+02,1.191814299831536526e-13
2.906982421875000000e+02,1.006469548266758662e-13
3.014648437500000000e+02,7.553762072460211199e-14
3.122314453125000000e+02,6.362882285806844239e-14
3.229980468750000000e+02,4.962510680481476171e-14
3.337646484375000000e+02,4.323954829159152196e-14
3.445312500000000000e+02,3.436424188148854711e-14
3.552978515625000000e+02,2.870455285609153270e-14
3.660644531250000000e+02,2.404164422608074333e-14
3.768310546875000000e+02,1.997043583704717324e-14
3.875976562500000000e+02,1.704156054660111141e-14
3.983642578125000000e+02,1.448369718269276918e-14
4.091308593750000000e+02,1.224845982421929619e-14
4.198974609375000000e+02,1.052357996372910615e-14
4.306640625000000000e+02,8.944086676984164604e-15
4.414306640625000000e+02,7.745461330052763748e-15
4.521972656250000000e+02,6.773804497160561951e-15
4.629638671875000000e+02,5.800906328221766014e-15
4.737304687500000000e+02,5.082195858090467106e-15
4.844970703125000000e+02,4.430200064560573782e-15
4.952636718750000000e+02,3.876398829044406097e-15
5.060302734375000000e+02,3.418544469822186525e-15
5.167968750000000000e+02,2.998670363971854514e-15
5.275634765625000000e+02,2.667270034822501213e-15
5.383300781250000000e+02,2.351986302757945741e-15
5.490966796875000000e+02,2.090407528311004263e-15
5.598632812500000000e+02,1.854109227770718336e-15
5.706298828125000000e+02,1.658362181104658880e-15
5.813964843750000000e+02,1.482507423850185901e-15
5.921630859375000000e+02,1.326677930140065875e-15
6.029296875000000000e+02,1.189370247294845275e-15
6.136962890625000000e+02,1.070810337191062031e-15
6.244628906250000000e+02,9.645637820243645491e-16
6.352294921875000000e+02,8.679881084998367007e-16
6.459960937500000000e+02,7.891081934847093783e-16
6.567626953125000000e+02,7.112025327233453931e-16
6.675292968750000000e+02,6.461991148792976651e-16
6.782958984375000000e+02,5.866171378473283346e-16
6.890625000000000000e+02,5.329775264627431511e-16
6.998291015625000000e+02,4.862451026853440106e-16
7.105957031250000000e+02,4.445090922611776509e-16
7.213623046875000000e+02,4.049516428109511733e-16
7.321289062500000000e+02,3.707668168570078469e-16
7.428955078125000000e+02,3.397985560099947229e-16
7.536621093750000000e+02,3.114672215513220559e-16
7.644287109375000000e+02,2.859422231041764999e-16
7.751953125000000000e+02,2.633518538343423369e-16
7.859619140625000000e+02,2.422887348205678379e-16
7.967285156250000000e+02,2.230111872411812768e-16
8.074951171875000000e+02,2.059448232476489076e-16
8.182617187500000000e+02,1.901827703049554675e-16
8.290283203125000000e+02,1.756785381815874766e-16
8.397949218750000000e+02,1.626960644501411259e-16
8.505615234375000000e+02,1.507797875102034183e-16
8.613281250000000000e+02,1.397334206023404685e-16
8.720947265625000000e+02,1.297563730326423834e-16
